Date_of_publication,Municipality_name,Total_reported,Deceased
2020-05-05,Hoeksche Waard,2,0
2020-05-06,Hoeksche Waard,1,0
2020-05-07,Hoeksche Waard,5,1
2020-05-08,Hoeksche Waard,1,0
2020-05-09,Hoeksche Waard,3,0
2020-05-10,Hoeksche Waard,0,0
2020-05-11,Hoeksche Waard,0,0
2020-05-12,Hoeksche Waard,1,0
2020-05-13,Hoeksche Waard,2,0
2020-05-14,Hoeksche Waard,2,0
2020-05-15,Hoeksche Waard,0,0
2020-05-16,Hoeksche Waard,0,0
2020-05-17,Hoeksche Waard,0,0
2020-05-18,Hoeksche Waard,1,0
2020-05-19,Hoeksche Waard,1,0
2020-05-20,Hoeksche Waard,0,0
2020-05-21,Hoeksche Waard,3,0
2020-05-22,Hoeksche Waard,1,0
2020-05-23,Hoeksche Waard,0,0
2020-05-24,Hoeksche Waard,3,0
2020-05-25,Hoeksche Waard,1,0
2020-05-26,Hoeksche Waard,1,0
2020-05-27,Hoeksche Waard,4,0
2020-05-28,Hoeksche Waard,1,0
2020-05-29,Hoeksche Waard,2,0
2020-05-30,Hoeksche Waard,0,0
2020-05-31,Hoeksche Waard,0,0
2020-05-01,Kaag en Braassem,0,0
2020-05-02,Kaag en Braassem,0,0
2020-05-03,Kaag en Braassem,0,0
2020-05-04,Kaag en Braassem,0,0
2020-05-05,Kaag en Braassem,0,0
2020-05-06,Kaag en Braassem,0,0
2020-05-07,Kaag en Braassem,0,0
2020-05-08,Kaag en Braassem,0,0
2020-05-09,Kaag en Braassem,0,0
2020-05-10,Kaag en Braassem,0,0
2020-05-11,Kaag en Braassem,0,0
2020-05-12,Kaag en Braassem,0,0
2020-05-13,Kaag en Braassem,1,0
2020-05-14,Kaag en Braassem,0,0
2020-05-15,Kaag en Braassem,0,0
2020-05-16,Kaag en Braassem,0,0
2020-05-17,Kaag en Braassem,0,0
2020-05-18,Kaag en Braassem,0,0
2020-05-19,Kaag en Braassem,0,0
2020-05-20,Kaag en Braassem,0,0
2020-05-21,Kaag en Braassem,0,0
2020-05-22,Kaag en Braassem,1,0
2020-05-23,Kaag en Braassem,0,0
2020-05-24,Kaag en Braassem,0,0
2020-05-25,Kaag en Braassem,0,0
2020-05-26,Kaag en Braassem,0,0
2020-05-27,Kaag en Braassem,0,0
2020-05-28,Kaag en Braassem,0,0
2020-05-29,Kaag en Braassem,0,0
2020-05-30,Kaag en Braassem,0,0
2020-05-31,Kaag en Braassem,0,0
2020-05-01,Katwijk,0,0
2020-05-02,Katwijk,1,0
2020-05-03,Katwijk,0,0
2020-05-04,Katwijk,2,1
2020-05-05,Katwijk,2,0
2020-05-06,Katwijk,1,0
2020-05-07,Katwijk,3,0
2020-05-08,Katwijk,0,0
2020-05-09,Katwijk,2,0
2020-05-10,Katwijk,1,0
2020-05-11,Katwijk,1,0
2020-05-12,Katwijk,0,0
2020-05-13,Katwijk,0,1
2020-05-14,Katwijk,0,0
2020-05-15,Katwijk,0,0
2020-05-16,Katwijk,0,0
2020-05-17,Katwijk,2,0
2020-05-18,Katwijk,0,0
2020-05-19,Katwijk,0,0
2020-05-20,Katwijk,2,0
2020-05-21,Katwijk,0,0
2020-05-22,Katwijk,0,0
2020-05-23,Katwijk,0,0
2020-05-24,Katwijk,0,1
2020-05-25,Katwijk,0,0
2020-05-26,Katwijk,0,0
2020-05-27,Katwijk,0,0
2020-05-28,Katwijk,1,0
2020-05-29,Katwijk,0,0
2020-05-30,Katwijk,0,0
2020-05-31,Katwijk,4,0
2020-05-01,Krimpen aan den IJssel,1,0
2020-05-02,Krimpen aan den IJssel,0,0
2020-05-03,Krimpen aan den IJssel,0,2
2020-05-04,Krimpen aan den IJssel,0,0
2020-05-05,Krimpen aan den IJssel,1,0
2020-05-06,Krimpen aan den IJssel,0,0
2020-05-07,Krimpen aan den IJssel,1,0
2020-05-08,Krimpen aan den IJssel,2,0
2020-05-09,Krimpen aan den IJssel,1,0
2020-05-10,Krimpen aan den IJssel,0,0
2020-05-11,Krimpen aan den IJssel,0,0
2020-05-12,Krimpen aan den IJssel,0,0
2020-05-13,Krimpen aan den IJssel,0,0
2020-05-14,Krimpen aan den IJssel,2,0
2020-05-15,Krimpen aan den IJssel,0,0
2020-05-16,Krimpen aan den IJssel,0,0
2020-05-17,Krimpen aan den IJssel,0,0
2020-05-18,Krimpen aan den IJssel,0,0
2020-05-19,Krimpen aan den IJssel,0,0
2020-05-20,Krimpen aan den IJssel,0,0
2020-05-21,Krimpen aan den IJssel,1,0
2020-05-22,Krimpen aan den IJssel,0,0
2020-05-23,Krimpen aan den IJssel,0,0
2020-05-24,Krimpen aan den IJssel,1,0
2020-05-25,Krimpen aan den IJssel,0,0
2020-05-26,Krimpen aan den IJssel,0,0
2020-05-27,Krimpen aan den IJssel,0,0
2020-05-28,Krimpen aan den IJssel,0,0
2020-05-29,Krimpen aan den IJssel,0,0
2020-05-30,Krimpen aan den IJssel,0,0
2020-05-31,Krimpen aan den IJssel,0,0
2020-05-01,Krimpenerwaard,2,0
