Date_of_publication,Municipality_name,Total_reported,Deceased
2020-04-27,Hellevoetsluis,0,0
2020-04-28,Hellevoetsluis,0,0
2020-04-29,Hellevoetsluis,0,0
2020-04-30,Hellevoetsluis,0,0
2020-04-01,Hendrik-Ido-Ambacht,0,0
2020-04-02,Hendrik-Ido-Ambacht,3,0
2020-04-03,Hendrik-Ido-Ambacht,2,0
2020-04-04,Hendrik-Ido-Ambacht,0,0
2020-04-05,Hendrik-Ido-Ambacht,1,0
2020-04-06,Hendrik-Ido-Ambacht,0,0
2020-04-07,Hendrik-Ido-Ambacht,3,0
2020-04-08,Hendrik-Ido-Ambacht,0,0
2020-04-09,Hendrik-Ido-Ambacht,2,1
2020-04-10,Hendrik-Ido-Ambacht,2,0
2020-04-11,Hendrik-Ido-Ambacht,2,0
2020-04-12,Hendrik-Ido-Ambacht,1,0
2020-04-13,Hendrik-Ido-Ambacht,0,1
2020-04-14,Hendrik-Ido-Ambacht,0,0
2020-04-15,Hendrik-Ido-Ambacht,0,0
2020-04-16,Hendrik-Ido-Ambacht,0,0
2020-04-17,Hendrik-Ido-Ambacht,1,0
2020-04-18,Hendrik-Ido-Ambacht,0,0
2020-04-19,Hendrik-Ido-Ambacht,1,0
2020-04-20,Hendrik-Ido-Ambacht,3,0
2020-04-21,Hendrik-Ido-Ambacht,0,0
2020-04-22,Hendrik-Ido-Ambacht,0,1
2020-04-23,Hendrik-Ido-Ambacht,1,0
2020-04-24,Hendrik-Ido-Ambacht,1,0
2020-04-25,Hendrik-Ido-Ambacht,0,0
2020-04-26,Hendrik-Ido-Ambacht,0,0
2020-04-27,Hendrik-Ido-Ambacht,0,0
2020-04-28,Hendrik-Ido-Ambacht,1,0
2020-04-29,Hendrik-Ido-Ambacht,1,0
2020-04-30,Hendrik-Ido-Ambacht,0,0
2020-04-01,Hillegom,1,0
2020-04-02,Hillegom,3,0
2020-04-03,Hillegom,1,0
2020-04-04,Hillegom,0,0
2020-04-05,Hillegom,1,0
2020-04-06,Hillegom,0,0
2020-04-07,Hillegom,0,0
2020-04-08,Hillegom,2,0
2020-04-09,Hillegom,0,0
2020-04-10,Hillegom,0,0
2020-04-11,Hillegom,3,0
2020-04-12,Hillegom,1,0
2020-04-13,Hillegom,0,1
2020-04-14,Hillegom,0,0
2020-04-15,Hillegom,1,0
2020-04-16,Hillegom,2,0
2020-04-17,Hillegom,1,0
2020-04-18,Hillegom,3,0
2020-04-19,Hillegom,1,0
2020-04-20,Hillegom,0,0
2020-04-21,Hillegom,0,0
2020-04-22,Hillegom,0,0
2020-04-23,Hillegom,0,0
2020-04-24,Hillegom,0,0
2020-04-25,Hillegom,0,1
2020-04-26,Hillegom,0,0
2020-04-27,Hillegom,0,0
2020-04-28,Hillegom,0,0
2020-04-29,Hillegom,0,0
2020-04-30,Hillegom,0,0
2020-04-01,Hoeksche Waard,8,0
2020-04-02,Hoeksche Waard,8,1
2020-04-03,Hoeksche Waard,3,0
2020-04-04,Hoeksche Waard,5,0
2020-04-05,Hoeksche Waard,4,0
2020-04-06,Hoeksche Waard,3,0
2020-04-07,Hoeksche Waard,3,0
2020-04-08,Hoeksche Waard,4,1
2020-04-09,Hoeksche Waard,12,0
2020-04-10,Hoeksche Waard,7,1
2020-04-11,Hoeksche Waard,5,0
2020-04-12,Hoeksche Waard,7,0
2020-04-13,Hoeksche Waard,7,0
2020-04-14,Hoeksche Waard,3,0
2020-04-15,Hoeksche Waard,9,0
2020-04-16,Hoeksche Waard,3,0
2020-04-17,Hoeksche Waard,10,1
2020-04-18,Hoeksche Waard,5,1
2020-04-19,Hoeksche Waard,4,0
2020-04-20,Hoeksche Waard,6,0
2020-04-21,Hoeksche Waard,4,3
2020-04-22,Hoeksche Waard,9,1
2020-04-23,Hoeksche Waard,6,0
2020-04-24,Hoeksche Waard,12,0
2020-04-25,Hoeksche Waard,5,1
2020-04-26,Hoeksche Waard,7,0
2020-04-27,Hoeksche Waard,4,0
2020-04-28,Hoeksche Waard,2,0
2020-04-29,Hoeksche Waard,4,1
2020-04-30,Hoeksche Waard,7,1
2020-04-01,Kaag en Braassem,0,0
2020-04-02,Kaag en Braassem,1,0
2020-04-03,Kaag en Braassem,3,0
2020-04-04,Kaag en Braassem,0,0
2020-04-05,Kaag en Braassem,1,0
2020-04-06,Kaag en Braassem,0,0
2020-04-07,Kaag en Braassem,0,0
2020-04-08,Kaag en Braassem,0,0
2020-04-09,Kaag en Braassem,1,0
2020-04-10,Kaag en Braassem,0,2
2020-04-11,Kaag en Braassem,1,0
2020-04-12,Kaag en Braassem,0,0
2020-04-13,Kaag en Braassem,0,0
2020-04-14,Kaag en Braassem,0,0
2020-04-15,Kaag en Braassem,1,0
2020-04-16,Kaag en Braassem,2,0
2020-04-17,Kaag en Braassem,2,0
2020-04-18,Kaag en Braassem,2,0
2020-04-19,Kaag en Braassem,0,0
2020-04-20,Kaag en Braassem,0,0
2020-04-21,Kaag en Braassem,0,0
2020-04-22,Kaag en Braassem,1,0
2020-04-23,Kaag en Braassem,2,0
2020-04-24,Kaag en Braassem,1,0
2020-04-25,Kaag en Braassem,0,0
2020-04-26,Kaag en Braassem,0,0
2020-04-27,Kaag en Braassem,0,0
2020-04-28,Kaag en Braassem,0,0
2020-04-29,Kaag en Braassem,0,0
2020-04-30,Kaag en Braassem,0,0
2020-04-01,Katwijk,2,0
2020-04-02,Katwijk,2,0
2020-04-03,Katwijk,3,1
2020-04-04,Katwijk,9,0
2020-04-05,Katwijk,2,0
2020-04-06,Katwijk,4,0
2020-04-07,Katwijk,2,2
2020-04-08,Katwijk,3,0
2020-04-09,Katwijk,10,0
2020-04-10,Katwijk,3,1
2020-04-11,Katwijk,6,0
2020-04-12,Katwijk,2,0
2020-04-13,Katwijk,9,0
2020-04-14,Katwijk,1,0
2020-04-15,Katwijk,12,0
2020-04-16,Katwijk,5,1
2020-04-17,Katwijk,7,0
2020-04-18,Katwijk,6,0
2020-04-19,Katwijk,5,0
2020-04-20,Katwijk,5,0
2020-04-21,Katwijk,14,1
2020-04-22,Katwijk,9,1
2020-04-23,Katwijk,7,1
2020-04-24,Katwijk,5,1
2020-04-25,Katwijk,1,0
2020-04-26,Katwijk,4,0
2020-04-27,Katwijk,4,0
2020-04-28,Katwijk,0,0
2020-04-29,Katwijk,5,0
2020-04-30,Katwijk,2,0
2020-04-01,Krimpen aan den IJssel,2,0
2020-04-02,Krimpen aan den IJssel,3,0
2020-04-03,Krimpen aan den IJssel,0,0
2020-04-04,Krimpen aan den IJssel,0,0
2020-04-05,Krimpen aan den IJssel,2,0
2020-04-06,Krimpen aan den IJssel,2,0
2020-04-07,Krimpen aan den IJssel,0,0
2020-04-08,Krimpen aan den IJssel,3,0
2020-04-09,Krimpen aan den IJssel,2,1
2020-04-10,Krimpen aan den IJssel,1,0
2020-04-11,Krimpen aan den IJssel,3,0
2020-04-12,Krimpen aan den IJssel,1,0
2020-04-13,Krimpen aan den IJssel,3,0
2020-04-14,Krimpen aan den IJssel,0,0
2020-04-15,Krimpen aan den IJssel,1,0
2020-04-16,Krimpen aan den IJssel,2,0
2020-04-17,Krimpen aan den IJssel,3,0
2020-04-18,Krimpen aan den IJssel,4,0
2020-04-19,Krimpen aan den IJssel,4,0
2020-04-20,Krimpen aan den IJssel,0,1
2020-04-21,Krimpen aan den IJssel,1,0
2020-04-22,Krimpen aan den IJssel,0,0
2020-04-23,Krimpen aan den IJssel,3,1
2020-04-24,Krimpen aan den IJssel,0,0
2020-04-25,Krimpen aan den IJssel,2,0
2020-04-26,Krimpen aan den IJssel,0,0
2020-04-27,Krimpen aan den IJssel,3,0
2020-04-28,Krimpen aan den IJssel,0,0
2020-04-29,Krimpen aan den IJssel,1,0
2020-04-30,Krimpen aan den IJssel,0,0
2020-04-01,Krimpenerwaard,11,2
2020-04-02,Krimpenerwaard,4,0
2020-04-03,Krimpenerwaard,3,4
2020-04-04,Krimpenerwaard,3,1
2020-04-05,Krimpenerwaard,2,0
2020-04-06,Krimpenerwaard,3,3
2020-04-07,Krimpenerwaard,0,0
2020-04-08,Krimpenerwaard,3,1
2020-04-09,Krimpenerwaard,4,2
2020-04-10,Krimpenerwaard,10,0
2020-04-11,Krimpenerwaard,3,0
2020-04-12,Krimpenerwaard,3,0
2020-04-13,Krimpenerwaard,2,0
2020-04-14,Krimpenerwaard,3,1
2020-04-15,Krimpenerwaard,5,1
2020-04-16,Krimpenerwaard,8,0
2020-04-17,Krimpenerwaard,2,0
2020-04-18,Krimpenerwaard,6,0
2020-04-19,Krimpenerwaard,0,1
2020-04-20,Krimpenerwaard,1,0
2020-04-21,Krimpenerwaard,0,0
2020-04-22,Krimpenerwaard,4,0
2020-04-23,Krimpenerwaard,3,0
2020-04-24,Krimpenerwaard,1,0
