,,Gemiddeld,40% huishoudens,20% huishoudens
,,persoonlijk ,met laagste,met hoogste
,,inkomen,besteedbaar,besteedbaar
,,per inwoner,inkomen,inkomen
,,,,
,Regionaam,x 1000 euro,%,
,Wijk 04 Mechelen,27.1,33.2,22
,Wijk 05 Epen,27.4,36.9,24.5
,Wijk 06 Slenaken,29.4,26.2,25.4
GM1730,Tynaarlo,29,29.2,26.9
,Wijk 00 Zuidlaren,26.7,33.4,21
,Wijk 01 De Groeve,27.5,23.5,29.9
,Wijk 02 Zuidlaarderveen,34.7,15.3,38.2
,Wijk 03 Midlaren,36.9,26,37.3
,Wijk 04 Westlaren,26.4,28.1,20.9
,Wijk 05 Schuilingsoord,25.6,22.8,22.2
,Wijk 06 Paterswolde,30.3,28.7,28.2
,Wijk 07 Eelde,27.3,33.6,22.4
,Wijk 08 Eelderwolde,41,6.8,74.6
,Wijk 09 Vries,27.7,34.9,21.9
,Wijk 10 Donderen,28.2,21.4,31.6
,Wijk 11 Bunne,30.5,15,40.8
,Wijk 12 Yde,28.1,25.8,23.6
,Wijk 13 Tynaarlo,27.1,23.5,25
,Wijk 14 Zeegse,35.7,23,35.2
,Wijk 15 Zeijen,29.2,20,30.3
GM1731,Midden-Drenthe,25.4,34.1,19.8
,Wijk 00 Beilen,25.1,36.6,18.4
,Wijk 01 Hijken,25.9,23,25.2
,Wijk 02 Hooghalen,25.7,34.4,21.8
,Wijk 03 Wijster,25.7,26.1,26.3
,Wijk 04 Spier,28,37,25.5
,Wijk 05 Drijber,24,35.6,16.8
,Wijk 06 Smilde,23.4,37.3,15.7
,Wijk 07 Bovensmilde,24.9,32.7,17.9
,Wijk 08 Hoogersmilde,25.1,36,19.3
,Wijk 09 Westerbork,27.3,33.7,20.4
,Wijk 10 Elp,28.8,18.4,26.3
,Wijk 11 Witteveen,26.1,30.7,23.9
,Wijk 12 Nieuw-Balinge,23.8,34.5,18.6
,Wijk 13 Nieuweroord,28.3,.,.
,Wijk 14 Zwiggelte,31.6,22,32.5
,Wijk 15 Orvelte,28.4,35,33
,Wijk 16 De Broekstreek,28.2,19.4,33.2
GM1734,Overbetuwe,27.3,29.7,25.5
,Buitengebied Elst,29.3,21.8,39.5
,Elst-Zuid,28.2,28.6,25.1
,Elst-Noord,23.4,49.4,11.5
,De Aam,28.4,.,.
,Westeraam,29.2,16.2,40.9
,Elst-Oost,33.2,16.3,39.2
,Oosterhout,27.1,33.2,20.7
,Slijk-Ewijk,26.6,30.5,25.9
,Herveld,27,28.2,26.8
,Andelst,26.2,30.4,25
,Kern Zetten,26.7,33,20.6
,Buitengebied Zetten,33.5,.,.
,Hemmen,27.3,.,.
,Randwijk,24.2,26.6,27.1
,Kern Heteren,26.7,25.5,25.3
,Buitengebied Heteren,30.6,34.9,27.8
,Valburg,28.6,25.9,28.1
,Driel,26.7,27.3,25.5
GM1735,Hof van Twente,26.1,33.3,22.9
,Wijk 00 Goor,24.5,43.6,14.6
,Wijk 01 De Whee II,24.9,24.5,22.6
,Wijk 02 Markelo,25.9,32,25.1
,Wijk 03 Verspr.h. Kerspel en omgeving,25.1,.,.
,Wijk 04 Elsen,26.9,21.3,39.8
,Wijk 05 Diepenheim,26.7,32.8,22
,Wijk 06 Delden,28.6,30.9,23.3
,Wijk 07 Overig Delden,30.3,.,.
,Wijk 08 Hengevelde,26.3,28.5,31.3
,Wijk 09 Bentelo,25.8,27.8,34.1
GM1740,Neder-Betuwe,23.5,33.1,23
,Wijk 00 Kesteren,22.5,33.1,24.4
,Wijk 01 Echteld,24.3,31.7,21.2
,Wijk 02 Dodewaard,24.6,35.2,22.5
GM1742,Rijssen-Holten,23.2,30.1,22.7
,Wijk 00 Stad Rijssen,22.2,43.2,15.5
,Wijk 01 Stadsrand,22,24.5,24
,Wijk 02 Buitengebied Rijssen,28.3,20.4,41.3
,Wijk 03 Holten,26.3,31.2,20.9
,Wijk 04 Bedrijventerrein Holten,.,.,.
,Wijk 05 Buitengebied Holten,26.3,22.9,38.6
,Wijk 07 Bedrijventerrein Rijssen,23.8,16.4,37.7
,Wijk 08 Recreatiegebied De Borkeld,24.5,.,.
GM1771,Geldrop-Mierlo,27.6,34.5,21.6
,Wijk 00 Geldrop,27.4,36.1,20.1
,Wijk 01 Mierlo,28.1,30.2,25.6
GM1773,Olst-Wijhe,25.9,31.5,22.1
,Wijk 01 Olst,24.7,34.7,17.3
,Wijk 02 Wijhe,25.4,35.1,18.7
,Wijk 03 Wesepe,26.5,23,27.3
,Wijk 04 Boskamp,25.4,34.6,19.4
,Wijk 05 Boerhaar,26.8,16.7,40.4
,Wijk 06 Welsum,28.9,21,31.7
,Wijk 07 Den Nul,27.6,25.9,29
,Wijk 08 Eikelhof,30.3,29.4,30.8
,Wijk 09 Elshof,29.5,23.1,38.6
,Wijk 10 Marle,.,.,.
,Wijk 11 Middel,25.5,20,28
,Wijk 12 Herxen,28.9,23.1,35.3
GM1774,Dinkelland,25.5,28.2,27.8
,Wijk 10 Denekamp,24.7,33.5,21.7
,Wijk 11 Lattrop-Breklenkamp,23.7,26.5,35.7
,Wijk 12 Tilligte,27,18.1,37.4
,Wijk 13 Agelo,25.1,15.8,42.6
,Wijk 14 Noord Deurningen,23.5,27.6,29.9
,Wijk 15 Ootmarsum,27,28.2,24.8
,Wijk 16 Weerselo,26.2,25,31.5
,Wijk 17 Rossum,25.1,23.9,33.3
,Wijk 18 Saasveld,25.9,21.4,38.8
,Wijk 19 Deurningen,26,25.7,29.6
,Wijk 20 Nutter,28.7,.,.
,Wijk 21 Oud Ootmarsum,24.1,24.8,40.7
GM1783,Westland,27.3,32.3,26.5
,Wijk 01 Naaldwijk,28,31.8,26.5
,Wijk 02 Honselersdijk,26.3,35,27
,Wijk 03 Maasdijk,25.9,39.3,23.7
,Wijk 04 's-Gravenzande,27.6,30.7,27
,Wijk 05 Monster,27.7,32,26
,Wijk 06 Wateringen,27.4,31.6,28.1
,Wijk 07 De Lier,26.6,27.9,27.8
,Wijk 08 Kwintsheul,27.5,31.3,27.9
,Wijk 09 Poeldijk,26.2,39.7,22.3
,Wijk 10 Ter Heijde,21.5,55.2,10.7
GM1842,Midden-Delfland,30.6,25,35.1
,Wijk 00 Schipluiden,30.5,24.8,36
,Wijk 01 Maasland,30.9,25.4,33.5
GM1859,Berkelland,24.8,34,19.2
,Wijk 00 Borculo,24.7,34.4,19.7
,Wijk 01 Eibergen,24.2,35.6,16.9
,Wijk 02 Beltrum,26.8,27.7,27.9
,Wijk 03 Neede,24.3,37,17.8
,Wijk 04 Ruurlo,26.1,28.9,21.1
GM1876,Bronckhorst,26.2,31.7,23
,Wijk 00 Hengelo,25.2,33.3,21.2
,Wijk 01 Zelhem,24.8,32.1,21.1
,Wijk 02 Vorden,26.9,32,24.1
,Wijk 03 Steenderen,27.1,29.7,24.6
,Wijk 04 Hummelo en Keppel,29.4,29.1,27.4
GM1883,Sittard-Geleen,26.2,44.8,15.2
,Wijk 00 Limbrichterveld,26,44.9,14.5
,Wijk 01 Sittard,30.2,48.6,16.8
,Wijk 02 Overhoven,24.8,48.7,13.3
,Wijk 03 Munstergeleen,28.7,31.5,20.7
,Wijk 04 Guttecoven,28.4,29.2,23.6
,Wijk 05 Geleen,24.4,49.4,11.7
,Wijk 06 Holtum-Born,27.2,32.8,20.2
,Wijk 07 Obbicht en Papenhoven,27.3,34.5,20.1
GM1884,Kaag en Braassem,29,29.9,28.6
,Wijk 00 Roelofarendsveen,28.3,31,27
,Wijk 01 Overig Alkemade,29.9,27.8,32.9
,Wijk 02 Woubrugge,29.2,28.5,29.6
,Wijk 03 Rijnsaterwoude,29.9,33.7,33.3
,Wijk 04 Leimuiden,29.9,29.4,27.4
GM1891,Dantumadiel,21.5,40.3,15.8
,Wijk 00 Centrum,21.2,39,15
,Wijk 01 Oost,20.3,31.5,21.8
,Wijk 02 Zuid,22,44.1,15
,Wijk 03 West,21.7,30.9,19.1
GM1892,Zuidplas,29,28,29.4
,Moerkapelle wijk 01,26.5,23.6,30.6
,Zevenhuizen wijk 02,29.6,26.7,31.5
,Moordrecht wijk 03,27.1,29.4,25.8
,Nieuwerkerk aan den IJssel wijk 04,30.1,28.6,29.8
GM1894,Peel en Maas,25.7,31.3,22.1
,Wijk 00 Grashoek-Koningslust,25,26.1,24.5
,Wijk 01 Panningen,25.7,32.6,20.8
,Wijk 02 Kessel,25.6,34.7,23.3
,Wijk 03 Maasbree,25.8,28,23.4
,Wijk 04 Baarlo,26.5,29.2,23.1
,Wijk 05 Meijel,25.3,33.1,21.7
GM1895,Oldambt,22.7,47.3,10.8
,Wijk 00 Winschoten,22,51.2,9.1
,Wijk 01 Finsterwolde,24,45.2,12.8
,Wijk 02 Drieborg,22.8,51.8,12.2
,Wijk 03 Beerta,21,51.4,7.7
,Wijk 04 Nieuw-Beerta,23.1,.,.
,Wijk 05 Nieuweschans,19.8,60.8,5.2
,Wijk 06 Scheemda-Heiligerlee,23.5,42.4,13.2
,Wijk 01 Westerlee,23.7,30.6,17.5
,Wijk 02 Noord,25.7,39,16.2
,Wijk 03 Midwolda,23.9,37.5,14.5
,Wijk 04 Nieuwolda,25.3,42.3,13.1
GM1896,Zwartewaterland,23.5,29.5,22.3
,Wijk 00 Genemuiden,22.5,27.2,24.8
,Wijk 01 Kamperzeedijk,21.4,20.2,43.5
,Wijk 02 Hasselt,23.9,28.1,18.8
,Wijk 03 Landelijk gebied Hasselt,28,16.6,40.9
,Wijk 04 Zwartsluis,24.7,36.9,18.8
,Wijk 05 Mastenbroek,23.7,.,.
GM1900,Súdwest-Fryslân,24,39.8,17
,Wijk 00 Bolsward,22.6,44.2,13.6
,Wijk 01 Sneek,24,44.9,14.5
,Wijk 02 Nijefurd,24.1,40.4,16.8
,Wijk 03 Koudum,22.6,38.1,16.9
,Wijk 04 Hemelum,23.2,39.7,17.9
,Wijk 05 IJlst,25.5,34.1,20.9
,Wijk 06 Zuid IJlst,24.2,35.2,20.4
,Wijk 07 Oost IJlst,25.8,25.4,24.4
,Wijk 08 West IJlst,23.6,34.4,22.3
,Wijk 09 Oosthem,24.2,30.9,24.6
,Wijk 10 Noordwest IJlst,24.7,28.1,24.3
,Wijk 11 Zuidoost IJlst,26.1,34.2,21.6
,Wijk 12 Woudsend,25.9,30.1,23.6
,Wijk 13 Bouwhoek,24.2,36.1,16.2
,Wijk 14 Weidestreek Oost,25.6,25.9,24.2
,Wijk 15 Weidestreek West,24.8,37.5,19.7
,Wijk 16 Weidestreek Zuid,23.2,28.3,22.2
,Wijk 17 Makkum,23.4,41.3,16.2
,Wijk 18 Weidestreek Zuidwest,23.4,27.3,21.6
,Wijk 19 Boarnsterhim,25.1,29.3,22.4
,Wijk 20 Littenseradiel,24.6,33.1,21.1
GM1901,Bodegraven-Reeuwijk,28.7,27.7,28.8
,Bodegraven-Noord,26.4,39.1,21.9
,Bodegraven-Zuid,27,25.4,26
,Nieuwerbrug aan den Rijn,30.6,23.3,34.9
,Reeuwijk-Dorp,30.1,20.6,36.3
,Reeuwijk-Brug,32.7,27.7,33.2
,Driebruggen,26.8,23.2,32.7
,Waarder,26.6,23,33.7
GM1903,Eijsden-Margraten,29,27.4,26.7
,Wijk 00 Eijsden,28.4,26.3,26.7
,Wijk 01 Gronsveld,29,27.6,25.5
,Wijk 02 Margraten,27.6,28.3,24.1
,Wijk 03 Cadier en Keer,32.7,28.9,28.5
,Wijk 04 Sint Geertruid,28.3,25.2,31.7
,Wijk 05 Mheer - Noorbeek,28.3,28.4,26.2
GM1904,Stichtse Vecht,31.2,30.1,28.2
,Wijk 01 Maarssen,35.2,28.9,34.1
,Wijk 02 Breukelen,30.8,36,27.1
,Wijk 03 Loenen aan de Vecht,36.3,31.9,33
,Wijk 04 Nieuwer Ter Aa,27,22.6,38.5
,Wijk 05 Kockengen,28.6,29.4,32.1
,Wijk 06 Vreeland,36.1,27.3,36.3
,Wijk 07 Tienhoven,32.9,32.8,29.5
,Wijk 08 Nigtevecht,33.5,27.9,34.9
,Wijk 09 Nieuwersluis,47.6,22.2,40.4
,Wijk 10 Loenersloot,38.8,18.1,36.7
,Wijk 11 Oud Zuilen,46,16.5,56.6
,Wijk 12 Maarssenbroek,26.7,28.9,20.4
GM1911,Hollands Kroon,25.5,33.6,21.2
,Anna Paulowna,24.9,34.3,19.6
,Breezand,26.6,30.5,25
,Wieringerwaard,25.5,31.3,20.8
,Westerland,27.5,30.4,23.2
,Hippolytushoef,25.3,38.9,16.5
,Den Oever,23.4,37.5,16.6
,Wieringerwerf,25.6,37.4,18.6
,Kreileroord,20.6,38.1,8.2
,Slootdorp,26.6,32,24.3
,Middenmeer,24.9,34.1,21.6
,Kolhorn,27.1,32.7,20.1
,Barsingerhorn,29.7,24.6,31.7
,Haringhuizen,36,.,.
,Lutjewinkel,25.7,29.3,22.5
,Winkel,24.8,29,23.7
,Nieuwe Niedorp,26.3,30.7,25.2
,'t Veld,24.9,33,24.2
,Zijdewind,27.2,20.4,36.7
,Oude Niedorp,27.5,21.6,38.6
GM1916,Leidschendam-Voorburg,31.7,37.5,24
,De Zijde / Duivenvoorde / Park Veursehou,34.1,32,27.1
,Prinsenhof,21.2,52.5,8.1
,'t Lien / De Rietvink,31.2,35.1,25.8
,Stompwijk,29,27.6,34.2
,Leidschendam - Zuid en omgeving,27.2,40.3,18.2
,De Heuvel / Amstelwijk,23.2,54.6,5.3
,Damsigt en omgeving,37,21.5,40.7
,Essesteijn,33.4,34.3,25.8
,Voorburg Midden,30.3,43.7,15
,Bovenveen,28.4,50.3,14.5
,Voorburg Noord,30.1,37.5,18.7
,Voorburg West / Park Leeuwenbergh,40.5,20.6,48.6
,Voorburg Oud,40.7,27.2,42.3
GM1924,Goeree-Overflakkee,27.2,33.6,23.5
,Goedereede,29.9,26,30.3
,Ouddorp,28.3,28.9,29.9
,Stellendam,26.9,34.9,20.7
,Middelharnis,27,34,23.2
,Ooltgensplaat,26.4,36.8,18
,Den Bommel,27,35.9,23.1
,Oude-Tonge,27.3,36.6,22.2
,Dirksland,27,31,25.8
,Melissant,27,29.4,24.6
,Herkingen,25.7,33.6,19.8
,Sommelsdijk,26.9,36.8,21.4
,Nieuwe-Tonge,25.9,34.3,21.7
,Stad aan 't Haringvliet,28.1,34.6,20.4
,Achthuizen,27.9,37.5,22
GM1926,Pijnacker-Nootdorp,30.5,23.9,35.8
,Pijnacker,29.6,24.9,32.2
,Nootdorp,31.3,22.7,38.9
,Delfgauw,31.3,23.5,40
GM1930,Nissewaard,27,37.2,19.2
,Centrum,26.4,54.5,10.5
,Schiekamp,25.5,46.5,9.2
,Hoogwerf,24.3,47.7,10.1
,Vierambachten,31.2,34.9,27.8
,De Hoek,21.8,42.4,11.7
,Gildenwijk,21.9,51.8,9.5
,Groenewoud,23.9,54,11.5
,Sterrenkwartier,24.8,44.6,14.5
,Schenkel,29,34,20.5
,De Elementen,32.8,27,30.7
,Vogelenzang,26.5,38.8,17.2
,De Akkers,22.5,46.4,11.8
,Vriesland,24.4,33.8,16.8
,Waterland,25.7,26.1,19
,Maaswijk,31.9,21.6,35.2
,Halfweg,.,.,.
,Buitengebied,30.9,.,.
,Heenvliet,31.3,21.2,26.5
,Geervliet,30,30.8,23.7
,Abbenbroek,30.8,24.8,28.3
,Zuidland,30.2,25.5,29.2
,Simonshaven,32,32.1,26.3
,Hekelingen,31.9,23.9,32.6
GM1931,Krimpenerwaard,27.1,32.2,24.5
,Wijk 00 Lekkerkerk,27.4,32.5,23.5
,Wijk 01 Krimpen aan de Lek,27.4,35,20.7
,Wijk 02 Ouderkerk aan den IJssel,26.9,25.8,27.5
,Wijk 03 Gouderak,25.9,31.2,22.8
,Wijk 04 Bergambacht,26.7,33.3,24.8
,Wijk 05 Bergstoep,30,22.9,31.6
,Wijk 06 Ammerstol,27.3,33.7,21.4
,Wijk 07 Berkenwoude,27.4,20.6,37.2
,Wijk 08 Haastrecht,28.7,29.6,26.9
,Wijk 10 Stolwijk,27.1,30,29.1
,Wijk 11 Vlist,26.8,28.5,30.6
,Wijk 12 Schoonhoven,26.5,36.9,21.5
GM1940,De Fryske Marren,24.8,35.2,19.5
,Wijk 01 Akmarijp,24.9,.,.
,Wijk 02 Bakhuizen,22.5,37.4,13.7
,Wijk 03 Balk,22.6,43.2,14.3
,Wijk 04 Bantega,24.3,22.4,26.6
,Wijk 05 Boornzwaag,30.9,.,.
,Wijk 06 Broek,33.8,.,.
,Wijk 07 Delfstrahuizen,26.7,31.1,23.5
,Wijk 08 Dijken,.,.,.
,Wijk 09 Doniaga,.,.,.
,Wijk 10 Echten,26.9,37.1,23.8
,Wijk 11 Echtenerbrug,23.4,36.2,17.6
,Wijk 12 Eesterga,.,.,.
,Wijk 13 Elahuizen,30.5,21.3,34
,Wijk 14 Follega,25.7,.,.
,Wijk 15 Goingarijp,33.7,17.9,29.9
,Wijk 16 Harich,28.2,18.1,32.4
,Wijk 17 Haskerhorne,23,17.2,31
,Wijk 18 Idskenhuizen,22.1,30.8,17.9
,Wijk 19 Joure,24.9,38.4,17
,Wijk 20 Kolderwolde,.,.,.
,Wijk 21 Langweer,26.3,32,21.5
,Wijk 22 Legemeer,.,.,.
,Wijk 23 Lemmer,25.3,39.6,17.4
,Wijk 24 Mirns,24.1,.,.
,Wijk 25 Nijehaske,.,.,.
,Wijk 26 Nijemirdum,23.4,28.3,25.1
,Wijk 27 Oldeouwer,.,.,.
,Wijk 28 Oosterzee,21.6,33.1,17.6
,Wijk 29 Oudega,26,26.6,27.5
,Wijk 30 Oudehaske,25.6,25.5,24.4
,Wijk 31 Oudemirdum,23.7,32.2,18.2
,Wijk 32 Ouwsterhaule,22.4,33.8,21.3
,Wijk 33 Ouwster-Nijega,.,.,.
,Wijk 34 Rijs,29.1,.,.
,Wijk 35 Rohel,22.5,.,.
,Wijk 36 Rotstergaast,24.3,.,.
,Wijk 37 Rotsterhaule,24.2,32.3,21.1
,Wijk 38 Rottum,24.5,23.8,24.8
,Wijk 39 Ruigahuizen,33,.,.
,Wijk 40 Scharsterbrug,23,26.4,26.1
,Wijk 41 Sint Nicolaasga,23.6,36.6,19
,Wijk 42 Sinjohannesga,23.5,26.6,23
,Wijk 43 Sloten,25.4,32.1,15.8
,Wijk 44 Snikzwaag,.,.,.
,Wijk 45 Sondel,25.2,20.9,27.5
,Wijk 46 Terherne,30.6,36.4,22
,Wijk 47 Terkaple,26.8,.,.
,Wijk 48 Teroele,.,.,.
,Wijk 49 Tjerkgaast,24.7,24.6,40.5
,Wijk 50 Vegelinsoord,25.4,22,24.5
,Wijk 51 Wijckel,26.3,30.9,23.8
GM1942,Gooise Meren,36.8,33.2,32.2
,Bussum Centrum,31.6,42.9,20
,Brediuskwartier,50.2,22.3,53.4
,Eng,30.4,38.4,24.6
,Spiegel,51,25.1,48.4
,Muiden,33.1,29.3,32.9
,Naarden,39.1,27.7,38
GM1945,Berg en Dal,26.6,38.9,20
,Beek,28.6,40.8,21.6
,Berg en Dal,32,39,22.6
,Breedeweg,24.9,34.5,20.6
,De Horst,24.9,28.7,29.8
,Erlecom,30.4,.,.
,Groesbeek,25.2,42.4,17.1
,Heilig Landstichting,45.6,16.1,54.9
,Kekerdom,31.3,35.3,23.7
,Leuth,23.6,41.1,17
,Millingen aan de Rijn,24.7,37.3,17
,Ooij,25.8,36,19.8
,Persingen,.,.,.
,Ubbergen,33.8,44.5,23.9
GM1948,Meierijstad,26.7,31.1,23.6
,Erp,26.3,25.7,29.3
,Schijndel,26.3,33.6,21.6
,Sint-Oedenrode,27.3,29.8,25.8
,Veghel,26.7,30.9,22.7
GM1949,Waadhoeke,23.3,39.3,15.3
,Achlum,24.5,36.5,16.7
,St.-Annaparochie,21.6,46.6,13.1
,Baaium,24.7,.,.
,Berltsum,22.7,40.4,14.5
,Bitgum,23.4,34.9,16.1
,Bitgummole,23,33.6,15.9
,Blessum,.,.,.
,Boer,.,.,.
,Boksum,26.8,36.4,21.6
,Deinum,26.3,22.8,25.6
,Dongjum,21,42.4,9.7
,Dronryp,25.6,29.9,19.4
,Firdgum,.,.,.
,Franeker,23.6,42.2,14
,Herbaijum,25.1,35.7,14.8
,Hitzum,24.5,35.9,13.6
,Ingelum,24.7,25,17.9
,St.-Jacobiparochie,21.6,43.6,12.2
,Klooster Lidlum,.,.,.
,Marsum,23.1,43.1,12.8
,Menaam,23.9,33.6,16.4
,Minnertsga,22.9,38.8,15.2
,Nij Altoenae,20.6,37.3,15.9
,Oosterbierum,21.6,46.4,12.6
,Oudebildtzijl,22.9,35.4,14.5
,Peins,24.4,30.6,23.4
,Pietersbierum,23.8,.,.
,Ried,22.5,36.2,17.3
,Schalsum,26,.,.
,Sexbierum,21.6,44.9,13.8
,Skingen,22.8,.,.
,Slappeterp,.,.,.
,Spannum,23.5,33.6,20
,Tzum,22.7,40.6,16.5
,Tzummarum,22.4,42.9,14.6
,Vrouwenparochie,22.6,36.2,15.3
,Westhoek,24.3,39.5,15.1
,Wier,25.9,.,.
,Winsum,23.7,37.2,14.9
,Wjelsryp,24.1,29,18.6
,Zweins,26.2,.,.
GM1950,Westerwolde,23.1,42.5,13.5
,Wijk 00 Bellingwolde,22.7,41.6,12.1
,Wijk 01 Oost,24.1,41.9,14.8
,Wijk 02 Blijham,24.4,41,15.7
,Wijk 03 Sellingen,23.6,36,14.7
,Wijk 04 Vlagtwedde,22.9,47.9,13.5
,Wijk 05 Bourtange,23,42.7,12.5
,Wijk 06 Sellingerbeetse,24.1,30.7,15
,Wijk 07 Ter Apel,22.2,44.9,12.2
,Wijk 08 Ter Wisch,27.7,30.7,27.6
,Wijk 09 de Maten,24.9,.,.
GM1952,Midden-Groningen,23.3,43.4,13.7
,Foxham en Hoogezand-Noord,21.9,58.9,7.1
,Hoogezand-Zuid,18.3,57.3,5.5
,Kalkwijk,27,23.1,21.5
,Sappemeer,22.8,42.3,12
,Kiel-Windeweer,27.2,24.5,23.7
,Kropswolde,35.6,20.2,37.6
,Foxhol,21.5,49.2,9.1
,Westerbroek en Waterhuizen,25.5,37.4,14.8
,"Harkstede, Scharmer en Woudbloem",28.1,26.6,28.6
,Kolham,24.2,33.3,14.3
,Froombosch,25.7,28.7,20.4
,Slochteren,23.7,44.9,13.7
,Schildwolde,23.9,31.7,19.5
,Hellum,26.8,30.5,24
,Siddeburen,23.5,39.3,16.8
,Eemskanaal-Zuid,29.5,33.4,24.1
,Tjuchem en Steendam,28.9,25.1,24.2
,Muntendam,22.1,44.2,11.2
,Noordbroek,23.4,40.2,15
,Zuidbroek,24.7,36,16.7
,Meeden,25.6,34.5,17.8
GM1954,Beekdaelen,27.4,34,21
,Wijk 00 Onderbanken,25.6,36.2,18.3
,Wijk 01 Nuth,25.3,45.9,14.4
,Wijk 02 Wijnandsrade,30.2,29.2,23.7
,Wijk 03 Hulsberg,28.8,26.9,23.9
,Wijk 04 Schimmert,30.1,24.9,30
,Wijk 05,28.6,30.4,24.4
,Wijk 06 Amstenrade - Oirsbeek,27.4,31.9,21.3
GM1955,Montferland,24.8,35.7,19
,Wijk 00 's-Heerenberg,24.2,39.4,16
,Wijk 01 Brakel,26.1,28.5,26.3
,Wijk 02 Didam,24.9,34,19.9
GM1959,Altena,26,30.7,25.1
,Werkendam,24.5,33,23.6
,Sleeuwijk,28.6,25.1,28.8
,Nieuwendijk,26.4,34,20.7
,Hank,26,32.5,22.5
,Dussen,27,31.6,24.7
,Woudrichem,27.7,30.7,23.3
,Rijswijk (NB),25.1,34.3,24.5
,Uitwijk,28.1,23.3,28.6
,Waardhuizen,25.3,.,.
,Giessen,24.1,33.7,22.1
,Andel,25,27.6,25.8
,Almkerk,28.2,29.7,27.6
,Veen,24.1,33.9,24
,Wijk en Aalburg,24.7,29.6,27.9
,Babyloniënbroek,26.2,20.1,32.7
,Meeuwen,25.4,27,27
,Eethen,26.8,28.7,24.5
,Drongelen,29.5,25.3,30.7
,Genderen,26,28,28
GM1960,West Betuwe,27.8,27.7,28.5
,Geldermalsen,26.6,32.6,23.6
,Deil,30.7,25.8,34
,Beesd,29.2,27.4,30.1
,Buurmalsen,26.6,25.9,28.9
,Meteren,29.1,18.5,35.1
,Haaften,26.9,30.2,27.3
,Waardenburg en Opijnen,26.9,25,31.7
,Varik en Ophemert,29.5,25.3,30.8
,Asperen,26.6,27.8,26.1
,Heukelum,28.4,27.5,27.1
,Vuren,26.5,28,24.4
,Herwijnen,27.8,29.2,30.3
GM1961,Vijfheerenlanden,26.3,32.8,23.8
,Tienhoven aan de Lek,26.6,.,.
,Tienhoven aan de Lek buitengebied,28.7,14.9,39.4
,Ameide,26.5,31.5,22.7
,Ameide buitengebied,27,.,.
,Meerkerk,26.5,28,25.9
,Meerkerk buitengebied,27.9,24,35.4
,Lexmond,27.8,35.1,26.9
,Lexmond buitengebied,29.1,22.1,41.9
,Nieuwland,24.2,29.9,22.9
,Nieuwland buitengebied,27.6,19.1,43.2
,Leerbroek,22.7,31.9,26.5
,Leerbroek buitengebied,24.8,16.5,45.1
,Kedichem,28.1,29.8,23.4
,Kedichem buitengebied,32.4,11,47.7
,Hei- en Boeicop,27.7,24.5,31.8
,Hei- en Boeicop buitengebied,29.8,17.2,41.4
,Oosterwijk,26.7,.,.
,Amaliastein,29.5,19.8,31.1
,Monnikenhof,26.5,27.5,23.2
,Vianen bedrijventerrein,.,.,.
,Vianen centrum,30.2,32.5,24.7
,De Hagen,21.7,48.8,10.3
,Vianen buitengebied,34.3,.,.
,Leerdam-West,20.6,51.7,11.4
,Leerdam-Noord,25.2,29.9,23.6
,Leerdam centrum,27.9,43.1,12.1
,Leerdam-Oost,27.3,32,24.1
,Nieuw Schaik,28.3,.,.
,Leerdam buitengebied,29.9,17.1,44.6
,Schoonrewoerd,25.2,29.5,24.6
,Schoonrewoerd buitengebied,29.1,17.2,47.3
,Zijderveld,26.6,23.7,29.2
,Zijderveld buitengebied,33.4,.,.
,Hagestein,31.1,21.7,36.4
,Hagestein buitengebied,29.9,20.3,43.9
,Hoef en Haag,29.5,15.5,38.7
,Everdingen,26.9,23.6,22
,Everdingen buitengebied,30.4,12.2,53.1
,Ossenwaard,.,.,.
GM1963,Hoeksche Waard,28.9,28.7,26.5
,Oud-Beijerland,28.8,28.9,27.1
,Heinenoord,30.1,27.3,28.1
,Mijnsheerenland,33.9,21.8,37.5
,Westmaas,30.9,25.4,25.7
,Puttershoek,27.7,31.6,22.2
,Maasdam,31,23.7,29.3
,'s-Gravendeel,27.1,33.5,21.1
,Strijen,28.3,30.3,24.4
,Klaaswaal,29.1,24.6,28
,Numansdorp,30,29.9,27.8
,Zuid-Beijerland,29.5,29.4,24.9
,Goudswaard,26.7,28.2,25.6
,Piershil,27.1,27.5,25.1
,Nieuw-Beijerland,26.4,23.9,28.9
GM1966,Het Hogeland,23.6,41,15.1
,Ulrum,22.8,45,11.1
,Leens,23.5,45.9,13.8
,Kloosterburen,22.7,42.5,13.4
,Oude Land,24.7,42.8,13.7
,Sauwerd,25.4,33.3,20.4
,Winsum,24.4,35.6,19.1
,Baflo,23.8,43.5,16.1
,Bedum,24.5,33.3,17.8
,Warffum,23.9,43.4,12.4
,Kantens,23.5,36.1,18.3
,Usquert,23.8,42.8,12.9
,Uithuizen,21,54.3,9.6
,Uithuizermeeden,22.4,41.8,14.3
,Eemshavengebied,.,.,.
GM1969,Westerkwartier,24.6,33.7,19.5
,Wijk 00 Grootegast,22.2,37.6,16.7
,Wijk 01 Lutjegast,23.4,27.4,23.4
,Wijk 02 Opende,22.3,32.6,19.1
,Wijk 03 Oldekerk,23.7,29.2,18.7
,Wijk 04 Leek,24.1,39.5,16.1
,Wijk 05 Zevenhuizen,25.1,30.7,22.5
,Wijk 06 Tolbert,24.6,37,16.5
